index,topic,level_1,level_2,.hpp,struct,msg_type,topic_num
1,TBD,soa_parking_msgs,msg,memparking_to_cus,MemparkingToCus,soa_parking_msgs/msg/MemparkingToCus,1
2,TBD,soa_parking_msgs,msg,soa_diy_parking_direction,SoaDIYParkingDirection,soa_parking_msgs/msg/SoaDIYParkingDirection,1
3,TBD,soa_parking_msgs,msg,map_cover,MapCover,soa_parking_msgs/msg/MapCover,0
4,TBD,soa_parking_msgs,msg,map_delete,MapDelete,soa_parking_msgs/msg/MapDelete,0
5,TBD,soa_parking_msgs,msg,parking_spc_rcmnd_select_req,ParkingSpcRcmndSelectReq,soa_parking_msgs/msg/ParkingSpcRcmndSelectReq,0
6,TBD,soa_parking_msgs,msg,parking_spc_set_req,ParkingSpcSetReq,soa_parking_msgs/msg/ParkingSpcSetReq,0
7,TBD,soa_parking_msgs,msg,map_preview_req,MapPreviewReq,soa_parking_msgs/msg/MapPreviewReq,0
8,TBD,soa_parking_msgs,msg,map_preview_info_received,MapPreviewInfoReceived,soa_parking_msgs/msg/MapPreviewInfoReceived,0
9,TBD,soa_parking_msgs,msg,memparking_to_slam,MemparkingToSlam,soa_parking_msgs/msg/MemparkingToSlam,1
10,TBD,soa_parking_msgs,msg,map_management,MapManagement,soa_parking_msgs/msg/MapManagement,0
11,TBD,soa_parking_msgs,msg,map_edt_name,MapEdtName,soa_parking_msgs/msg/MapEdtName,0
12,TBD,soa_parking_msgs,msg,soa_diy_parking,SoaDIYParking,soa_parking_msgs/msg/SoaDIYParking,1
13,TBD,soa_parking_msgs,msg,map_path_received,MapPathReceived,soa_parking_msgs/msg/MapPathReceived,0
14,TBD,pilot_planning_msgs,msg,lateral_opt_point_info,LateralOptPointInfo,pilot_planning_msgs/msg/LateralOptPointInfo,0
15,TBD,pilot_planning_msgs,msg,trajectory_para,TrajectoryPara,pilot_planning_msgs/msg/TrajectoryPara,0
16,TBD,pilot_planning_msgs,msg,motion_planning,MotionPlanning,pilot_planning_msgs/msg/MotionPlanning,0
17,TBD,pilot_planning_msgs,msg,dm_target,DMTarget,pilot_planning_msgs/msg/DMTarget,0
18,TBD,pilot_planning_msgs,msg,lateral_motion_planning_debug_data,LateralMotionPlanningDebugData,pilot_planning_msgs/msg/LateralMotionPlanningDebugData,0
19,TBD,pilot_planning_msgs,msg,trajectory_point,TrajectoryPoint,pilot_planning_msgs/msg/TrajectoryPoint,0
20,TBD,pilot_planning_msgs,msg,planning_hmi_info,PlanningHmiInfo,pilot_planning_msgs/msg/PlanningHmiInfo,0
21,TBD,pilot_planning_msgs,msg,vehicle_des_state,VehicleDesState,pilot_planning_msgs/msg/VehicleDesState,0
22,TBD,pilot_planning_msgs,msg,qp_path_planning_debug_data,QpPathPlanningDebugData,pilot_planning_msgs/msg/QpPathPlanningDebugData,0
23,TBD,pilot_planning_msgs,msg,points_info,PointsInfo,pilot_planning_msgs/msg/PointsInfo,0
24,TBD,pilot_planning_msgs,msg,ddp_trajectory,DDPTrajectory,pilot_planning_msgs/msg/DDPTrajectory,0
25,TBD,pilot_planning_msgs,msg,qp_speed_debug_data,QPSpeedDebugData,pilot_planning_msgs/msg/QPSpeedDebugData,0
26,TBD,pilot_planning_msgs,msg,trajectory_points,TrajectoryPoints,pilot_planning_msgs/msg/TrajectoryPoints,0
27,TBD,pilot_planning_msgs,msg,feature,Feature,pilot_planning_msgs/msg/Feature,0
28,TBD,pilot_planning_msgs,msg,ddp_state,DDPState,pilot_planning_msgs/msg/DDPState,0
29,TBD,pilot_planning_msgs,msg,trajectory_solver_debug,TrajectorySolverDebug,pilot_planning_msgs/msg/TrajectorySolverDebug,0
30,TBD,pilot_planning_msgs,msg,boundary,Boundary,pilot_planning_msgs/msg/Boundary,0
